Brass Horn of Valhalla,0
Dwarven Plate,2
Potion of Longevity,2
Apparatus of Kwalish,0
Boots of the Winterlands,0
Belt of Hill Giant Strength,0
Folding Boat,0
Ring of Invisibility,0
Manual of Bodily Health,0
Manual of Gainful Exercise,0
Manual of Quickness of Action,2
Tome of Leadership and Influence,0
Tome of Understanding,0
Tome of Clear Thought,0
Staff of Thunder and Lightning,0
Wand of Binding,0
Wand of Fear,0
Spell Scroll Level 9,0
Bronze Horn of Valhalla,0
Belt of Frost/Stone Giant Strength,0
Carpet of Flying,2
Helm of Telepathy,0
Ioun Stone Awareness,0
Ring of Regeneration,2
Rod of the Pact Keeper +1,2
Staff of Charming,0
Sunblade,0
Staff of Healing,0
Belt of Fire Giant Strength,0
Iron Horn of Valhalla,0
Ring of Shooting Stars,0
Ioun Stone Mastery,0
Sphere of Annihilation,2
"Weapon, +3",0
Belt of Cloud Giant Strength,0
Cube of Force,0
Hammer of Thunderbolts,0
Ring of Mind Shielding,0
Rod of the Pact Keeper +2,2
Rod of Rulership,0
Staff of Fire,0
Staff of Swarming Insects,0
Wand of Paralysis,0
Ring of Fire Elemental Command,0
Armor of Invulnerability,2
Belt of Storm Giant Strength,0
Dwarven Thrower,0
Mirror of Life Trapping,0
Wand of Wonder,0
Wand of the War Mage +3,0
