(2d6) +2 Ammunition,0
Ioun stone of Protection,0
Wand of the War Mage +1,0
Spell Scroll level 6,0
Potion of Supreme Healing,0
"Armor, +1",2
"Shield, +1",2
Bracers of Archery,0
Circlet of Blasting,0
Chime of Opening,0
Goggles of Night,0
Horseshoes of the Zephyr,0
Javelin of Lightning,0
Mariner's Armor,0
Necklace of Adaption,0
Prayer Bead - Smiting,0
Ring of Water Walking,0
Wand of Magic Detection,0
Wand of Secrets,0
Wind Fan,0
Sword of Sharpness,0
Demon Armor,1
Staff of the Adder,0
Oil of Etherealness,0
Dancing Sword,0
Glamoured Studded leather,0
Gloves of Swimming and Climbing,0
Handy Haversack,0
Pipes of the Sewers,0
Prayer Bead - Bless,0
Rope of Climbing,0
Ring of Feather Falling,0
Saddle of the Cavalier,0
Sending Stones,2
Staff of the Python,0
Sword of Wounding,0
Frost Brand,0
Ioun Stone of Absorption,0
Dagger of Venom,0
Boots of Elvenkind,0
Eyes of Minute Seeing,0
Eyes of the Eagle,0
Ring of Jumping,0
Spell Scroll level 7,0
Dimensional Shackles,0
Eyes of Charming,0
Gloves of Missile Snaring,0
Ioun Stone of Agility,0
Iound Stone of Fortitude,0
Ioun Stone of Insight,0
