Ioun Stone of Intellect,0
Ioun Stone of Leadership,0
Ioun Stone of Strength,0
Medallion of Thoughts,0
Onyx Dog,0
Ring of Swimming,0
Feather Token Bird,0
Feather Token Swan Boat,0
Staff of Withering,0
Oil of Sharpness,0
Robe of usefull items,0
Manual of Clay Golems,0
Manual of Flesh Golems,0
Manual of Iron Golems,0
Manual of Stone Golems,0
Cloak of protection,2
Oathbow,0
Ring of Protection,2
Potion fo Invulnerability,0
"Weapon, +2",0
Bag of holding,0
Boots of Levitation,0
Boots of Speed,2
Dragon Scale Mail,0
Elven Chain,0
Ioun Stone Regeneration,0
Iron Band of Bilarro,0
Prayer Bead Curing,0
Ring of Animal Influence,0
Rope of Entanglement,0
Wand of Enemy Detection,0
Luckstone,0
Potion of Giant Strength (1d6 type),0
(2d6) +3 Ammunition,0
Wand of the War Mage +2,0
Boots of Striding and Springin,0
Cloak of Arachnida,0
Cloak of Elvenkind,0
Flame Tongue,0
Gloves of Thievery,0
Gem of Brightness,0
Hat of Disguise,0
Horseshoes of Speed,0
Immovable Rod,0
Lantern of Revealing,0
Periapt of Health,0
Periapt of Proof Against Poison,0
Periapt of Wound Closure,0
Ring of Evasion,0
Ring of the Ram,0
Silver Raven,0
Slippers of Spider Climbing,0
Tentacle Rod,0
Wings of Flying,2
Spell Scroll Level 8,0
Silver Horn of Valhalla,0
"Armor, +2",2
"Shield, +2",2
Alchemy Jug,0
Animated Shield,0
Armor of Resistance,0
Arrow-Catching Shield,0
Belt of Dwarvenkind,0
Bracers of Defense,0
Cloak of the Bat,0
Cloak of the Manta Ray,0
Ebony Fly,2
Ioun Stone Reserve,0
Marble Elephant,0
Pearl of Power,0
Pipes of Haunting,0
Ring of Resistance,0
Ring of X-Ray Vision,0
Robe of Scintillating Colors,0
Scimitar of Speed,0
Shield of Missile Attraction,1
Deck of Illusions,0
Giant Slayer,0
Mace of Smiting,0
Brooch of Shielding,0
Necklace of Fireballs (1d6),0
Amulet of Health,0
Bowl of Commanding Water Elementals,0
Brazier of Commanding Fire Elementals,0
Bronze Griffon,2
Broom of Flying,2
Cape of the Mountebank,0
Censer of Controlling Air Elementals,0
Dragon Slayer,0
Gauntlets of Ogre Power,0
Headband of Intellect,0
Mace of Disruption,0
Mace of Terror,0
Nine Lives Stealer,0
Portable Hole,0
Serpentine Owl,2
Stone of Controlling Earth Elementals,0
Wand of Magic Missiles,0
Wand of Web,0
Winged Boots,2
