Spell scroll lvl 3,0
Feather Token Fan,0
Feather Token Whip,0
Potion of Diminution,0
Potion of Growth,0
(2d6) +1 Ammunition,0
Dust of Disappearance,0
Necklace of Fireballs (one bead),0
Potion of Gaseous Form,0
Potion of Resistance,0
Universal Solvent,0
Spell Scroll lvl 4,0
Ivory Goat (Travail),0
Vicious Weapon,0
1 +3 Ammunition,0
Potion of Speed,0
Sovereign Glue,0
Horn of Blasting,0
Potion of Superior Healing,0
Dust of Dryness(1d4 pellets),0
Dust of Sneezing and Choking,0
Keoghtom's Ointment (1d4+1 doses),0
Oil of Slipperiness,0
(1d6) +2 Ammunition,0
Adamantine Armor,0
Helm of Comprehend Languages,0
Potion of Flying,2
(1d6) +3 Ammunition,0
Arrow of Slaying,0
Golden Lion (1),0
Spell Scroll level 5,0
Dust of Dryness(1d6 pellets),0
Driftglobe,0
Berserker Axe,1
Mithral Armor,0
Armor of Vulnerability,1
Trident of Fish Command,0
Bead of Force (1),0
Elemental Gem,0
Potion of Clairvoyance,0
Potion of Vitality,0
Sword of Vengeance,1
Weapon +1,0
Cap of Water Breathing,0
Eversmoking bottle,0
Quiver of Ehlonna,0
Ioun Stone Sustenance,0
Ivory Goat (Traveling),0
Ring of Warmth,0
Sword of Life Stealing,0
