Amulet of Proof Against Detection and Location,0
Candle of Invocation,2
Efreeti Chain,0
Ivory Goat (Terror),0
Ring of Free Action,0
Sentinel Shield,0
Talisman of the Sphere,0
Staff of Striking,0
"Armor, +3",2
"Shield, +3",2
Defender,2
Ring of Spell Storing,0
Rod of Resurrection,0
Vorpal Sword,0
Ring of Water Elemental Command,0
Rod of Alertness,0
Staff of Frost,0
Instrument of the Bards - Fochulan Bandlore,0
Instrument of the Bards - Mac-Fuirmidh Cittern,0
Rod of Lordly Might,0
Rod of the Pact Keeper +3,2
Instrument of the Bards - Doss Lute,0
Bag of Tricks,2
Instrument of the Bards - Canaith Mandolin,0
Mantle of Spell Resistance,0
Ring of Spell Turning,0
Robe of Eyes,0
Tome of the Stilled Tongue,3
Ioun Stone Greater Absorption,0
Ring of Earth Elemental Command,2
Gem of Seeing,0
Prayer Bead - Favor,0
Wand of Fireballs,0
Wand of Lightning Bolts,0
Wand of Polymorph,0
Robe of the Archmagi,2
Helm of Brilliance,2
Instrument of the Bards - Cli Lyre,0
Ring of Air Elemental Command,2
Scarab of Protection,0
Sword of Answering,0
Cubic Gate,2
Ring of Djinni Summoning,2
Staff of the Woodlands,0
Plate Armor of Etherealness,0
Well of Many Worlds,0
Crystal Ball,2
Iron Flask (empty),2
Rod of Absorption,0
Spellguard Shield,0
